Date,Close,Index,Month,Returns (%)
1993-09-01,458.92999267578125,S&P 500,September,-0.9987930164805148
1993-10-01,467.8299865722656,S&P 500,October,1.9392922751884534
1993-11-01,461.7900085449219,S&P 500,November,-1.291062608362914
1993-12-01,466.45001220703125,S&P 500,December,1.0091174724184304
1994-01-01,481.6099853515625,S&P 500,January,3.2500745519977725
1994-02-01,467.1400146484375,S&P 500,February,-3.004499728667853
1994-03-01,445.7699890136719,S&P 500,March,-4.574651060635082
1994-04-01,450.9100036621094,S&P 500,April,1.1530643100964522
1994-05-01,456.5,S&P 500,May,1.2397144202814125
1994-06-01,444.2699890136719,S&P 500,June,-2.679082362832008
1994-07-01,458.260009765625,S&P 500,July,3.1489907258900107
1994-08-01,475.489990234375,S&P 500,August,3.7598699649926237
1994-09-01,462.7099914550781,S&P 500,September,-2.6877534841474704
1994-10-01,472.3500061035156,S&P 500,October,2.0833815622011143
1994-11-01,453.69000244140625,S&P 500,November,-3.950461187888721
1994-12-01,459.2699890136719,S&P 500,December,1.2299117331743048
1995-01-01,470.4200134277344,S&P 500,January,2.4277711761677034
1995-02-01,487.3900146484375,S&P 500,February,3.607414807259257
1995-03-01,500.7099914550781,S&P 500,March,2.732919511338072
1995-04-01,514.7100219726562,S&P 500,April,2.796035780491146
1995-05-01,533.4000244140625,S&P 500,May,3.631171269946476
1995-06-01,544.75,S&P 500,June,2.1278543431649366
1995-07-01,562.0599975585938,S&P 500,July,3.177603957520647
1995-08-01,561.8800048828125,S&P 500,August,-0.03202374774278205
1995-09-01,584.4099731445312,S&P 500,September,4.009747288732535
1995-10-01,581.5,S&P 500,October,-0.49793351897702287
1995-11-01,605.3699951171875,S&P 500,November,4.104900278106194
1995-12-01,615.9299926757812,S&P 500,December,1.744387340596476
1996-01-01,636.02001953125,S&P 500,January,3.2617386869231213
1996-02-01,640.4299926757812,S&P 500,February,0.6933701784703983
1996-03-01,645.5,S&P 500,March,0.7916567590839696
1996-04-01,654.1699829101562,S&P 500,April,1.343142201418468
1996-05-01,669.1199951171875,S&P 500,May,2.2853405991703157
